'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'NotSuccession(01_BB_540, 01_HOOFD_040)';'NotSuccession';'01_BB_540';'01_HOOFD_040';1.000;0.282;0.176
'NotSuccession(01_BB_540, 01_HOOFD_050)';'NotSuccession';'01_BB_540';'01_HOOFD_050';1.000;0.423;0.264
'NotSuccession(01_BB_540, 01_HOOFD_060)';'NotSuccession';'01_BB_540';'01_HOOFD_060';1.000;0.282;0.176
'RespondedExistence(01_BB_540, 01_HOOFD_061)';'RespondedExistence';'01_BB_540';'01_HOOFD_061';0.501;0.313;0.126
'NotChainSuccession(01_BB_540, 01_HOOFD_061)';'NotChainSuccession';'01_BB_540';'01_HOOFD_061';0.998;0.403;0.251
'NotChainSuccession(01_BB_540, 01_HOOFD_065_0)';'NotChainSuccession';'01_BB_540';'01_HOOFD_065_0';1.000;0.442;0.276
'NotSuccession(01_BB_540, 01_HOOFD_065_1)';'NotSuccession';'01_BB_540';'01_HOOFD_065_1';1.000;0.554;0.346
'NotSuccession(01_BB_540, 01_HOOFD_065_2)';'NotSuccession';'01_BB_540';'01_HOOFD_065_2';1.000;0.553;0.345
'NotSuccession(01_BB_540, 01_HOOFD_090)';'NotSuccession';'01_BB_540';'01_HOOFD_090';1.000;0.338;0.211
'NotChainSuccession(01_BB_540, 01_HOOFD_101)';'NotChainSuccession';'01_BB_540';'01_HOOFD_101';1.000;0.209;0.130
'NotChainSuccession(01_BB_540, 01_HOOFD_101b)';'NotChainSuccession';'01_BB_540';'01_HOOFD_101b';0.983;0.227;0.142
'NotSuccession(01_BB_540, 01_HOOFD_110)';'NotSuccession';'01_BB_540';'01_HOOFD_110';1.000;0.385;0.240
'NotChainSuccession(01_BB_540, 01_HOOFD_110_0)';'NotChainSuccession';'01_BB_540';'01_HOOFD_110_0';0.995;0.414;0.258
'NotChainSuccession(01_BB_540, 01_HOOFD_110_1)';'NotChainSuccession';'01_BB_540';'01_HOOFD_110_1';1.000;0.327;0.204
'NotChainSuccession(01_BB_540, 01_HOOFD_110_2)';'NotChainSuccession';'01_BB_540';'01_HOOFD_110_2';1.000;0.337;0.210
'NotSuccession(01_BB_540, 01_HOOFD_120)';'NotSuccession';'01_BB_540';'01_HOOFD_120';1.000;0.371;0.232
'NotSuccession(01_BB_540, 01_HOOFD_130)';'NotSuccession';'01_BB_540';'01_HOOFD_130';1.000;0.292;0.182
'RespondedExistence(01_BB_540, 01_HOOFD_180)';'RespondedExistence';'01_BB_540';'01_HOOFD_180';1.000;0.624;0.571
'NotChainSuccession(01_BB_540, 01_HOOFD_180)';'NotChainSuccession';'01_BB_540';'01_HOOFD_180';1.000;0.624;0.571
'RespondedExistence(01_BB_540, 01_HOOFD_195)';'RespondedExistence';'01_BB_540';'01_HOOFD_195';0.827;0.516;0.376
'NotChainSuccession(01_BB_540, 01_HOOFD_195)';'NotChainSuccession';'01_BB_540';'01_HOOFD_195';1.000;0.624;0.454
'NotSuccession(01_BB_540, 01_HOOFD_196)';'NotSuccession';'01_BB_540';'01_HOOFD_196';1.000;0.284;0.177
'RespondedExistence(01_BB_540, 01_HOOFD_200)';'RespondedExistence';'01_BB_540';'01_HOOFD_200';1.000;0.624;0.531
'NotChainSuccession(01_BB_540, 01_HOOFD_200)';'NotChainSuccession';'01_BB_540';'01_HOOFD_200';1.000;0.624;0.531
'NotSuccession(01_BB_540, 01_HOOFD_250)';'NotSuccession';'01_BB_540';'01_HOOFD_250';1.000;0.326;0.203
'RespondedExistence(01_BB_540, 01_HOOFD_250_1)';'RespondedExistence';'01_BB_540';'01_HOOFD_250_1';0.561;0.350;0.172
'NotChainSuccession(01_BB_540, 01_HOOFD_250_1)';'NotChainSuccession';'01_BB_540';'01_HOOFD_250_1';1.000;0.492;0.307
'RespondedExistence(01_BB_540, 01_HOOFD_250_2)';'RespondedExistence';'01_BB_540';'01_HOOFD_250_2';0.561;0.350;0.172
'NotChainSuccession(01_BB_540, 01_HOOFD_250_2)';'NotChainSuccession';'01_BB_540';'01_HOOFD_250_2';1.000;0.492;0.307
'NotSuccession(01_BB_540, 01_HOOFD_260)';'NotSuccession';'01_BB_540';'01_HOOFD_260';1.000;0.325;0.202
'NotSuccession(01_BB_540, 01_HOOFD_270)';'NotSuccession';'01_BB_540';'01_HOOFD_270';1.000;0.252;0.157
'RespondedExistence(01_BB_540, 01_HOOFD_330)';'RespondedExistence';'01_BB_540';'01_HOOFD_330';0.923;0.576;0.435
'NotChainSuccession(01_BB_540, 01_HOOFD_330)';'NotChainSuccession';'01_BB_540';'01_HOOFD_330';1.000;0.624;0.472
'RespondedExistence(01_BB_540, 01_HOOFD_370)';'RespondedExistence';'01_BB_540';'01_HOOFD_370';0.867;0.541;0.382
'NotChainSuccession(01_BB_540, 01_HOOFD_370)';'NotChainSuccession';'01_BB_540';'01_HOOFD_370';1.000;0.624;0.440
'RespondedExistence(01_BB_540, 01_HOOFD_375)';'RespondedExistence';'01_BB_540';'01_HOOFD_375';1.000;0.624;0.523
'NotChainSuccession(01_BB_540, 01_HOOFD_375)';'NotChainSuccession';'01_BB_540';'01_HOOFD_375';1.000;0.624;0.523
'RespondedExistence(01_BB_540, 01_HOOFD_380)';'RespondedExistence';'01_BB_540';'01_HOOFD_380';1.000;0.624;0.523
'NotChainSuccession(01_BB_540, 01_HOOFD_380)';'NotChainSuccession';'01_BB_540';'01_HOOFD_380';1.000;0.624;0.523
'RespondedExistence(01_BB_540, 01_HOOFD_430)';'RespondedExistence';'01_BB_540';'01_HOOFD_430';1.000;0.624;0.433
'NotChainSuccession(01_BB_540, 01_HOOFD_430)';'NotChainSuccession';'01_BB_540';'01_HOOFD_430';1.000;0.624;0.433
'NotSuccession(01_BB_540, 01_HOOFD_470)';'NotSuccession';'01_BB_540';'01_HOOFD_470';1.000;0.212;0.132
'RespondedExistence(01_BB_540, 01_HOOFD_480)';'RespondedExistence';'01_BB_540';'01_HOOFD_480';1.000;0.624;0.433
'NotChainSuccession(01_BB_540, 01_HOOFD_480)';'NotChainSuccession';'01_BB_540';'01_HOOFD_480';0.998;0.623;0.432
'RespondedExistence(01_BB_540, 01_HOOFD_490_1)';'RespondedExistence';'01_BB_540';'01_HOOFD_490_1';1.000;0.624;0.514
'NotChainSuccession(01_BB_540, 01_HOOFD_490_1)';'NotChainSuccession';'01_BB_540';'01_HOOFD_490_1';1.000;0.624;0.514
'NotChainSuccession(01_BB_540, 01_HOOFD_490_1a)';'NotChainSuccession';'01_BB_540';'01_HOOFD_490_1a';0.998;0.366;0.228
'RespondedExistence(01_BB_540, 01_HOOFD_490_2)';'RespondedExistence';'01_BB_540';'01_HOOFD_490_2';0.992;0.619;0.483
'NotChainSuccession(01_BB_540, 01_HOOFD_490_2)';'NotChainSuccession';'01_BB_540';'01_HOOFD_490_2';0.998;0.623;0.486
'NotChainSuccession(01_BB_540, 01_HOOFD_490_3)';'NotChainSuccession';'01_BB_540';'01_HOOFD_490_3';1.000;0.258;0.161
'RespondedExistence(01_BB_540, 01_HOOFD_490_4)';'RespondedExistence';'01_BB_540';'01_HOOFD_490_4';0.578;0.361;0.185
'NotChainSuccession(01_BB_540, 01_HOOFD_490_4)';'NotChainSuccession';'01_BB_540';'01_HOOFD_490_4';0.998;0.513;0.320
'RespondedExistence(01_BB_540, 01_HOOFD_490_5)';'RespondedExistence';'01_BB_540';'01_HOOFD_490_5';0.565;0.352;0.161
'NotChainSuccession(01_BB_540, 01_HOOFD_490_5)';'NotChainSuccession';'01_BB_540';'01_HOOFD_490_5';1.000;0.458;0.286
'NotChainSuccession(01_BB_540, 01_HOOFD_490_5a)';'NotChainSuccession';'01_BB_540';'01_HOOFD_490_5a';1.000;0.356;0.222
'RespondedExistence(01_BB_540, 01_HOOFD_491)';'RespondedExistence';'01_BB_540';'01_HOOFD_491';0.690;0.430;0.241
'NotChainSuccession(01_BB_540, 01_HOOFD_491)';'NotChainSuccession';'01_BB_540';'01_HOOFD_491';1.000;0.560;0.349
'NotChainSuccession(01_BB_540, 01_HOOFD_494a)';'NotChainSuccession';'01_BB_540';'01_HOOFD_494a';0.988;0.357;0.223
'RespondedExistence(01_BB_540, 01_HOOFD_495)';'RespondedExistence';'01_BB_540';'01_HOOFD_495';0.788;0.492;0.322
'NotChainSuccession(01_BB_540, 01_HOOFD_495)';'NotChainSuccession';'01_BB_540';'01_HOOFD_495';1.000;0.624;0.409
'RespondedExistence(01_BB_540, 01_HOOFD_500)';'RespondedExistence';'01_BB_540';'01_HOOFD_500';0.642;0.400;0.205
'NotChainSuccession(01_BB_540, 01_HOOFD_500)';'NotChainSuccession';'01_BB_540';'01_HOOFD_500';1.000;0.513;0.320
'NotSuccession(01_BB_540, 01_HOOFD_510_0)';'NotSuccession';'01_BB_540';'01_HOOFD_510_0';1.000;0.358;0.223
'RespondedExistence(01_BB_540, 01_HOOFD_510_1)';'RespondedExistence';'01_BB_540';'01_HOOFD_510_1';0.983;0.613;0.488
'NotChainSuccession(01_BB_540, 01_HOOFD_510_1)';'NotChainSuccession';'01_BB_540';'01_HOOFD_510_1';0.995;0.621;0.494
'RespondedExistence(01_BB_540, 01_HOOFD_510_2)';'RespondedExistence';'01_BB_540';'01_HOOFD_510_2';1.000;0.624;0.505
'NotChainSuccession(01_BB_540, 01_HOOFD_510_2)';'NotChainSuccession';'01_BB_540';'01_HOOFD_510_2';1.000;0.624;0.505
'NotChainSuccession(01_BB_540, 01_HOOFD_510_2a)';'NotChainSuccession';'01_BB_540';'01_HOOFD_510_2a';0.998;0.357;0.223
'RespondedExistence(01_BB_540, 01_HOOFD_510_3)';'RespondedExistence';'01_BB_540';'01_HOOFD_510_3';0.570;0.356;0.165
'NotChainSuccession(01_BB_540, 01_HOOFD_510_3)';'NotChainSuccession';'01_BB_540';'01_HOOFD_510_3';0.993;0.461;0.287
'RespondedExistence(01_BB_540, 01_HOOFD_510_4)';'RespondedExistence';'01_BB_540';'01_HOOFD_510_4';0.553;0.345;0.155
'NotChainSuccession(01_BB_540, 01_HOOFD_510_4)';'NotChainSuccession';'01_BB_540';'01_HOOFD_510_4';0.998;0.449;0.280
'RespondedExistence(01_BB_540, 01_HOOFD_515)';'RespondedExistence';'01_BB_540';'01_HOOFD_515';0.570;0.356;0.165
'NotChainSuccession(01_BB_540, 01_HOOFD_515)';'NotChainSuccession';'01_BB_540';'01_HOOFD_515';1.000;0.464;0.289
'NotSuccession(01_BB_540, 01_HOOFD_520)';'NotSuccession';'01_BB_540';'01_HOOFD_520';1.000;0.346;0.216
'NotChainSuccession(01_BB_540, 01_HOOFD_530)';'NotChainSuccession';'01_BB_540';'01_HOOFD_530';0.998;0.338;0.211
'NotChainSuccession(01_BB_540, 01_HOOFD_809)';'NotChainSuccession';'01_BB_540';'01_HOOFD_809';0.934;0.230;0.144
'RespondedExistence(01_BB_540, 01_HOOFD_810)';'RespondedExistence';'01_BB_540';'01_HOOFD_810';0.788;0.492;0.323
'NotChainSuccession(01_BB_540, 01_HOOFD_810)';'NotChainSuccession';'01_BB_540';'01_HOOFD_810';0.953;0.595;0.390
'NotChainSuccession(01_BB_540, 01_HOOFD_811)';'NotChainSuccession';'01_BB_540';'01_HOOFD_811';0.940;0.311;0.194
'AlternateResponse(01_BB_540, 01_HOOFD_814)';'AlternateResponse';'01_BB_540';'01_HOOFD_814';0.557;0.347;0.147
'NotChainSuccession(01_BB_540, 01_HOOFD_814)';'NotChainSuccession';'01_BB_540';'01_HOOFD_814';0.924;0.391;0.244
'AlternateResponse(01_BB_540, 01_HOOFD_815)';'AlternateResponse';'01_BB_540';'01_HOOFD_815';0.557;0.347;0.147
'NotChainSuccession(01_BB_540, 01_HOOFD_815)';'NotChainSuccession';'01_BB_540';'01_HOOFD_815';0.947;0.401;0.250
'AlternateResponse(01_BB_540, 01_HOOFD_820)';'AlternateResponse';'01_BB_540';'01_HOOFD_820';0.738;0.460;0.279
'NotChainSuccession(01_BB_540, 01_HOOFD_820)';'NotChainSuccession';'01_BB_540';'01_HOOFD_820';0.947;0.575;0.359
'RespondedExistence(01_BB_540, 02_DRZ_010)';'RespondedExistence';'01_BB_540';'02_DRZ_010';0.669;0.417;0.291
'NotChainSuccession(01_BB_540, 02_DRZ_010)';'NotChainSuccession';'01_BB_540';'02_DRZ_010';1.000;0.624;0.435
'RespondedExistence(01_BB_540, 03_GBH_005)';'RespondedExistence';'01_BB_540';'03_GBH_005';0.555;0.346;0.177
'NotChainSuccession(01_BB_540, 03_GBH_005)';'NotChainSuccession';'01_BB_540';'03_GBH_005';1.000;0.512;0.319
'RespondedExistence(01_BB_540, 04_BPT_005)';'RespondedExistence';'01_BB_540';'04_BPT_005';0.674;0.421;0.304
'NotChainSuccession(01_BB_540, 04_BPT_005)';'NotChainSuccession';'01_BB_540';'04_BPT_005';1.000;0.624;0.451
'NotSuccession(01_BB_540, 04_BPT_010)';'NotSuccession';'01_BB_540';'04_BPT_010';1.000;0.228;0.142
'NotSuccession(01_BB_540, 04_BPT_020)';'NotSuccession';'01_BB_540';'04_BPT_020';1.000;0.250;0.156
'NotSuccession(01_BB_540, 04_BPT_030)';'NotSuccession';'01_BB_540';'04_BPT_030';1.000;0.234;0.146
'RespondedExistence(01_BB_540, 05_EIND_010)';'RespondedExistence';'01_BB_540';'05_EIND_010';0.703;0.439;0.279
'NotChainSuccession(01_BB_540, 05_EIND_010)';'NotChainSuccession';'01_BB_540';'05_EIND_010';1.000;0.624;0.397
'NotSuccession(01_BB_540, 06_VD_010)';'NotSuccession';'01_BB_540';'06_VD_010';1.000;0.335;0.209
'RespondedExistence(01_BB_540, 08_AWB45_005)';'RespondedExistence';'01_BB_540';'08_AWB45_005';0.572;0.357;0.198
'NotChainSuccession(01_BB_540, 08_AWB45_005)';'NotChainSuccession';'01_BB_540';'08_AWB45_005';0.996;0.552;0.344
'NotSuccession(01_BB_540, 08_AWB45_010)';'NotSuccession';'01_BB_540';'08_AWB45_010';1.000;0.209;0.130
'NotSuccession(01_BB_540, 08_AWB45_020_1)';'NotSuccession';'01_BB_540';'08_AWB45_020_1';1.000;0.206;0.128
'NotSuccession(01_BB_540, 08_AWB45_020_2)';'NotSuccession';'01_BB_540';'08_AWB45_020_2';1.000;0.204;0.127
'RespondedExistence(01_BB_540, 09_AH_I_010)';'RespondedExistence';'01_BB_540';'09_AH_I_010';1.000;0.624;0.523
'NotChainSuccession(01_BB_540, 09_AH_I_010)';'NotChainSuccession';'01_BB_540';'09_AH_I_010';1.000;0.624;0.523
'RespondedExistence(01_BB_540, 11_AH_II_010)';'RespondedExistence';'01_BB_540';'11_AH_II_010';0.688;0.429;0.260
'NotChainSuccession(01_BB_540, 11_AH_II_010)';'NotChainSuccession';'01_BB_540';'11_AH_II_010';1.000;0.607;0.379
'NotChainSuccession(01_BB_540, 13_CRD_010)';'NotChainSuccession';'01_BB_540';'13_CRD_010';1.000;0.351;0.219
'NotSuccession(01_BB_540, 16_LGSD_010)';'NotSuccession';'01_BB_540';'16_LGSD_010';1.000;0.219;0.136
'NotChainSuccession(01_BB_540, 16_LGSV_010)';'NotChainSuccession';'01_BB_540';'16_LGSV_010';1.000;0.292;0.182
'AlternatePrecedence(01_HOOFD_065_1, 01_BB_540)';'AlternatePrecedence';'01_BB_540';'01_HOOFD_065_1';0.584;0.323;0.202
'AlternatePrecedence(01_HOOFD_065_2, 01_BB_540)';'AlternatePrecedence';'01_BB_540';'01_HOOFD_065_2';0.584;0.323;0.201
'NotSuccession(01_BB_630, 01_HOOFD_010)';'NotSuccession';'01_BB_630';'01_HOOFD_010';1.000;0.147;0.146
'NotSuccession(01_BB_630, 01_HOOFD_015)';'NotSuccession';'01_BB_630';'01_HOOFD_015';1.000;0.147;0.146
'NotSuccession(01_BB_630, 01_HOOFD_020)';'NotSuccession';'01_BB_630';'01_HOOFD_020';1.000;0.147;0.146
'NotSuccession(01_BB_630, 01_HOOFD_030_1)';'NotSuccession';'01_BB_630';'01_HOOFD_030_1';1.000;0.147;0.139
'NotSuccession(01_BB_630, 01_HOOFD_030_2)';'NotSuccession';'01_BB_630';'01_HOOFD_030_2';1.000;0.147;0.138
'NotSuccession(01_BB_630, 01_HOOFD_180)';'NotSuccession';'01_BB_630';'01_HOOFD_180';1.000;0.147;0.134
'Precedence(01_HOOFD_010, 01_BB_630)';'Precedence';'01_BB_630';'01_HOOFD_010';1.000;0.998;0.146
'Precedence(01_HOOFD_015, 01_BB_630)';'Precedence';'01_BB_630';'01_HOOFD_015';1.000;0.996;0.146
'Precedence(01_HOOFD_020, 01_BB_630)';'Precedence';'01_BB_630';'01_HOOFD_020';1.000;0.995;0.146
'Precedence(01_HOOFD_030_1, 01_BB_630)';'Precedence';'01_BB_630';'01_HOOFD_030_1';0.959;0.907;0.133
'Precedence(01_HOOFD_030_2, 01_BB_630)';'Precedence';'01_BB_630';'01_HOOFD_030_2';0.959;0.900;0.132
'Precedence(01_HOOFD_180, 01_BB_630)';'Precedence';'01_BB_630';'01_HOOFD_180';1.000;0.916;0.134
'AtMostOne(01_BB_770)';'AtMostOne';'01_BB_770';;1.000;0.739;0.546
'Participation(01_BB_770)';'Participation';'01_BB_770';;0.739;0.546;0.404
'RespondedExistence(01_BB_770, 01_BB_540)';'RespondedExistence';'01_BB_770';'01_BB_540';0.831;0.614;0.383
'NotChainSuccession(01_BB_770, 01_BB_540)';'NotChainSuccession';'01_BB_770';'01_BB_540';0.991;0.618;0.457
'RespondedExistence(01_BB_770, 01_BB_775)';'RespondedExistence';'01_BB_770';'01_BB_775';0.558;0.412;0.170
'NotChainSuccession(01_BB_770, 01_BB_775)';'NotChainSuccession';'01_BB_770';'01_BB_775';0.906;0.374;0.276
'NotSuccession(01_BB_770, 01_HOOFD_010)';'NotSuccession';'01_BB_770';'01_HOOFD_010';1.000;0.739;0.737
'RespondedExistence(01_BB_770, 01_HOOFD_011)';'RespondedExistence';'01_BB_770';'01_HOOFD_011';0.673;0.498;0.353
'NotSuccession(01_BB_770, 01_HOOFD_011)';'NotSuccession';'01_BB_770';'01_HOOFD_011';0.998;0.708;0.523
'RespondedExistence(01_BB_770, 01_HOOFD_015)';'RespondedExistence';'01_BB_770';'01_HOOFD_015';1.000;0.739;0.737
'NotChainSuccession(01_BB_770, 01_HOOFD_015)';'NotChainSuccession';'01_BB_770';'01_HOOFD_015';1.000;0.739;0.737
'RespondedExistence(01_BB_770, 01_HOOFD_020)';'RespondedExistence';'01_BB_770';'01_HOOFD_020';1.000;0.739;0.736
'NotChainSuccession(01_BB_770, 01_HOOFD_020)';'NotChainSuccession';'01_BB_770';'01_HOOFD_020';1.000;0.739;0.736
'RespondedExistence(01_BB_770, 01_HOOFD_030_1)';'RespondedExistence';'01_BB_770';'01_HOOFD_030_1';0.963;0.712;0.673
'NotChainSuccession(01_BB_770, 01_HOOFD_030_1)';'NotChainSuccession';'01_BB_770';'01_HOOFD_030_1';1.000;0.739;0.699
'NotSuccession(01_BB_770, 01_HOOFD_030_2)';'NotSuccession';'01_BB_770';'01_HOOFD_030_2';1.000;0.739;0.694
'NotSuccession(01_BB_770, 01_HOOFD_040)';'NotSuccession';'01_BB_770';'01_HOOFD_040';1.000;0.282;0.209
'NotSuccession(01_BB_770, 01_HOOFD_050)';'NotSuccession';'01_BB_770';'01_HOOFD_050';1.000;0.423;0.313
'NotSuccession(01_BB_770, 01_HOOFD_060)';'NotSuccession';'01_BB_770';'01_HOOFD_060';1.000;0.282;0.209
'NotChainSuccession(01_BB_770, 01_HOOFD_061)';'NotChainSuccession';'01_BB_770';'01_HOOFD_061';1.000;0.404;0.299
'NotChainSuccession(01_BB_770, 01_HOOFD_065_0)';'NotChainSuccession';'01_BB_770';'01_HOOFD_065_0';1.000;0.442;0.327
'RespondedExistence(01_BB_770, 01_HOOFD_065_1)';'RespondedExistence';'01_BB_770';'01_HOOFD_065_1';0.620;0.458;0.254
'NotChainSuccession(01_BB_770, 01_HOOFD_065_1)';'NotChainSuccession';'01_BB_770';'01_HOOFD_065_1';1.000;0.554;0.410
'NotSuccession(01_BB_770, 01_HOOFD_065_2)';'NotSuccession';'01_BB_770';'01_HOOFD_065_2';1.000;0.553;0.409
'NotSuccession(01_BB_770, 01_HOOFD_090)';'NotSuccession';'01_BB_770';'01_HOOFD_090';1.000;0.338;0.250
'NotSuccession(01_BB_770, 01_HOOFD_100)';'NotSuccession';'01_BB_770';'01_HOOFD_100';1.000;0.177;0.131
'NotChainSuccession(01_BB_770, 01_HOOFD_101)';'NotChainSuccession';'01_BB_770';'01_HOOFD_101';1.000;0.209;0.155
'NotChainSuccession(01_BB_770, 01_HOOFD_101b)';'NotChainSuccession';'01_BB_770';'01_HOOFD_101b';0.998;0.230;0.170
'NotSuccession(01_BB_770, 01_HOOFD_110)';'NotSuccession';'01_BB_770';'01_HOOFD_110';1.000;0.385;0.284
'NotChainSuccession(01_BB_770, 01_HOOFD_110_0)';'NotChainSuccession';'01_BB_770';'01_HOOFD_110_0';1.000;0.416;0.307
'NotSuccession(01_BB_770, 01_HOOFD_110_1)';'NotSuccession';'01_BB_770';'01_HOOFD_110_1';1.000;0.327;0.242
'NotSuccession(01_BB_770, 01_HOOFD_110_2)';'NotSuccession';'01_BB_770';'01_HOOFD_110_2';1.000;0.337;0.249
'NotSuccession(01_BB_770, 01_HOOFD_120)';'NotSuccession';'01_BB_770';'01_HOOFD_120';1.000;0.371;0.275
'NotSuccession(01_BB_770, 01_HOOFD_130)';'NotSuccession';'01_BB_770';'01_HOOFD_130';1.000;0.292;0.216
'RespondedExistence(01_BB_770, 01_HOOFD_180)';'RespondedExistence';'01_BB_770';'01_HOOFD_180';1.000;0.739;0.677
'NotChainSuccession(01_BB_770, 01_HOOFD_180)';'NotChainSuccession';'01_BB_770';'01_HOOFD_180';1.000;0.739;0.677
'RespondedExistence(01_BB_770, 01_HOOFD_195)';'RespondedExistence';'01_BB_770';'01_HOOFD_195';0.844;0.624;0.454
'NotChainSuccession(01_BB_770, 01_HOOFD_195)';'NotChainSuccession';'01_BB_770';'01_HOOFD_195';1.000;0.728;0.538
'NotChainSuccession(01_BB_770, 01_HOOFD_196)';'NotChainSuccession';'01_BB_770';'01_HOOFD_196';1.000;0.284;0.210
'RespondedExistence(01_BB_770, 01_HOOFD_200)';'RespondedExistence';'01_BB_770';'01_HOOFD_200';0.997;0.737;0.627
'NotChainSuccession(01_BB_770, 01_HOOFD_200)';'NotChainSuccession';'01_BB_770';'01_HOOFD_200';1.000;0.739;0.629
'NotSuccession(01_BB_770, 01_HOOFD_250)';'NotSuccession';'01_BB_770';'01_HOOFD_250';1.000;0.326;0.241
'RespondedExistence(01_BB_770, 01_HOOFD_250_1)';'RespondedExistence';'01_BB_770';'01_HOOFD_250_1';0.576;0.425;0.209
'NotChainSuccession(01_BB_770, 01_HOOFD_250_1)';'NotChainSuccession';'01_BB_770';'01_HOOFD_250_1';1.000;0.492;0.363
'RespondedExistence(01_BB_770, 01_HOOFD_250_2)';'RespondedExistence';'01_BB_770';'01_HOOFD_250_2';0.576;0.425;0.209
'NotChainSuccession(01_BB_770, 01_HOOFD_250_2)';'NotChainSuccession';'01_BB_770';'01_HOOFD_250_2';0.998;0.491;0.363
'NotSuccession(01_BB_770, 01_HOOFD_260)';'NotSuccession';'01_BB_770';'01_HOOFD_260';1.000;0.325;0.240
'NotSuccession(01_BB_770, 01_HOOFD_270)';'NotSuccession';'01_BB_770';'01_HOOFD_270';1.000;0.252;0.187
'RespondedExistence(01_BB_770, 01_HOOFD_330)';'RespondedExistence';'01_BB_770';'01_HOOFD_330';0.906;0.669;0.506
'NotChainSuccession(01_BB_770, 01_HOOFD_330)';'NotChainSuccession';'01_BB_770';'01_HOOFD_330';1.000;0.739;0.559
'RespondedExistence(01_BB_770, 01_HOOFD_370)';'RespondedExistence';'01_BB_770';'01_HOOFD_370';0.881;0.651;0.460
'NotChainSuccession(01_BB_770, 01_HOOFD_370)';'NotChainSuccession';'01_BB_770';'01_HOOFD_370';1.000;0.706;0.522
'RespondedExistence(01_BB_770, 01_HOOFD_375)';'RespondedExistence';'01_BB_770';'01_HOOFD_375';1.000;0.739;0.620
'NotChainSuccession(01_BB_770, 01_HOOFD_375)';'NotChainSuccession';'01_BB_770';'01_HOOFD_375';1.000;0.739;0.620
'RespondedExistence(01_BB_770, 01_HOOFD_380)';'RespondedExistence';'01_BB_770';'01_HOOFD_380';1.000;0.739;0.620
'NotChainSuccession(01_BB_770, 01_HOOFD_380)';'NotChainSuccession';'01_BB_770';'01_HOOFD_380';1.000;0.739;0.620
'RespondedExistence(01_BB_770, 01_HOOFD_430)';'RespondedExistence';'01_BB_770';'01_HOOFD_430';0.833;0.615;0.428
'NotChainSuccession(01_BB_770, 01_HOOFD_430)';'NotChainSuccession';'01_BB_770';'01_HOOFD_430';1.000;0.695;0.514
'NotSuccession(01_BB_770, 01_HOOFD_440_1)';'NotSuccession';'01_BB_770';'01_HOOFD_440_1';1.000;0.171;0.126
'NotSuccession(01_BB_770, 01_HOOFD_470)';'NotSuccession';'01_BB_770';'01_HOOFD_470';1.000;0.212;0.156
'RespondedExistence(01_BB_770, 01_HOOFD_480)';'RespondedExistence';'01_BB_770';'01_HOOFD_480';0.837;0.619;0.429
