'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_090)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_090';1.000;0.212;0.212
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_100)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_100';0.980;0.164;0.164
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_100_0)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_100_0';0.991;0.332;0.332
'RespondedExistence(01_HOOFD_010, 01_HOOFD_101)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_101';0.703;0.703;0.494
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_101)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_101';0.994;0.699;0.699
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_110)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_110';1.000;0.389;0.389
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_110_0)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_110_0';0.999;0.387;0.387
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_110_1)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_110_1';1.000;0.143;0.143
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_110_2)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_110_2';1.000;0.166;0.166
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_120)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_120';1.000;0.367;0.367
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_130)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_130';1.000;0.188;0.188
'RespondedExistence(01_HOOFD_010, 01_HOOFD_180)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_180';0.865;0.865;0.748
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_180)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_180';0.998;0.863;0.863
'AlternateResponse(01_HOOFD_010, 01_HOOFD_195)';'AlternateResponse';'01_HOOFD_010';'01_HOOFD_195';0.659;0.659;0.434
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_195)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_195';0.999;0.658;0.658
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_196)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_196';1.000;0.268;0.268
'RespondedExistence(01_HOOFD_010, 01_HOOFD_200)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_200';0.781;0.781;0.609
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_200)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_200';1.000;0.781;0.781
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_250)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_250';1.000;0.325;0.325
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_250_1)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_250_1';1.000;0.368;0.368
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_250_2)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_250_2';0.999;0.367;0.367
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_260)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_260';1.000;0.324;0.324
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_270)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_270';1.000;0.165;0.165
'RespondedExistence(01_HOOFD_010, 01_HOOFD_330)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_330';0.700;0.700;0.490
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_330)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_330';1.000;0.700;0.700
'RespondedExistence(01_HOOFD_010, 01_HOOFD_370)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_370';0.666;0.666;0.444
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_370)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_370';1.000;0.666;0.666
'RespondedExistence(01_HOOFD_010, 01_HOOFD_375)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_375';0.775;0.775;0.600
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_375)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_375';1.000;0.775;0.775
'RespondedExistence(01_HOOFD_010, 01_HOOFD_380)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_380';0.773;0.773;0.598
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_380)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_380';1.000;0.773;0.773
'RespondedExistence(01_HOOFD_010, 01_HOOFD_430)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_430';0.706;0.706;0.498
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_430)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_430';1.000;0.706;0.706
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_470)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_470';1.000;0.206;0.206
'RespondedExistence(01_HOOFD_010, 01_HOOFD_480)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_480';0.709;0.709;0.503
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_480)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_480';1.000;0.709;0.709
'RespondedExistence(01_HOOFD_010, 01_HOOFD_490_1)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_490_1';0.768;0.768;0.590
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_490_1)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_490_1';1.000;0.768;0.768
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_490_1a)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_490_1a';1.000;0.331;0.331
'RespondedExistence(01_HOOFD_010, 01_HOOFD_490_2)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_490_2';0.722;0.722;0.522
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_490_2)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_490_2';1.000;0.722;0.722
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_490_3)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_490_3';1.000;0.303;0.303
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_490_4)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_490_4';1.000;0.460;0.460
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_490_5)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_490_5';1.000;0.364;0.364
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_490_5a)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_490_5a';1.000;0.296;0.296
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_491)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_491';0.999;0.460;0.460
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_494a)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_494a';1.000;0.298;0.298
'RespondedExistence(01_HOOFD_010, 01_HOOFD_495)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_495';0.616;0.616;0.380
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_495)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_495';0.999;0.616;0.616
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_500)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_500';1.000;0.467;0.467
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_510_0)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_510_0';1.000;0.329;0.329
'RespondedExistence(01_HOOFD_010, 01_HOOFD_510_1)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_510_1';0.746;0.746;0.557
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_510_1)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_510_1';1.000;0.746;0.746
'RespondedExistence(01_HOOFD_010, 01_HOOFD_510_2)';'RespondedExistence';'01_HOOFD_010';'01_HOOFD_510_2';0.750;0.750;0.562
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_510_2)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_510_2';1.000;0.750;0.750
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_510_2a)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_510_2a';1.000;0.324;0.324
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_510_3)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_510_3';1.000;0.411;0.411
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_510_4)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_510_4';1.000;0.401;0.401
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_515)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_515';1.000;0.411;0.411
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_519)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_519';1.000;0.188;0.188
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_520)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_520';1.000;0.342;0.342
'NotChainSuccession(01_HOOFD_010, 01_HOOFD_530)';'NotChainSuccession';'01_HOOFD_010';'01_HOOFD_530';1.000;0.334;0.334
'RespondedExistence(01_HOOFD_010, 02_DRZ_010)';'RespondedExistence';'01_HOOFD_010';'02_DRZ_010';0.656;0.656;0.430
'NotChainSuccession(01_HOOFD_010, 02_DRZ_010)';'NotChainSuccession';'01_HOOFD_010';'02_DRZ_010';0.982;0.644;0.644
'NotChainSuccession(01_HOOFD_010, 03_GBH_005)';'NotChainSuccession';'01_HOOFD_010';'03_GBH_005';1.000;0.141;0.141
'RespondedExistence(01_HOOFD_010, 04_BPT_005)';'RespondedExistence';'01_HOOFD_010';'04_BPT_005';0.669;0.669;0.447
'NotChainSuccession(01_HOOFD_010, 04_BPT_005)';'NotChainSuccession';'01_HOOFD_010';'04_BPT_005';0.986;0.660;0.660
'NotChainSuccession(01_HOOFD_010, 05_EIND_010)';'NotChainSuccession';'01_HOOFD_010';'05_EIND_010';1.000;0.406;0.406
'NotChainSuccession(01_HOOFD_010, 06_VD_010)';'NotChainSuccession';'01_HOOFD_010';'06_VD_010';1.000;0.331;0.331
'RespondedExistence(01_HOOFD_010, 08_AWB45_005)';'RespondedExistence';'01_HOOFD_010';'08_AWB45_005';0.505;0.505;0.255
'NotChainSuccession(01_HOOFD_010, 08_AWB45_005)';'NotChainSuccession';'01_HOOFD_010';'08_AWB45_005';1.000;0.505;0.505
'NotChainSuccession(01_HOOFD_010, 08_AWB45_010)';'NotChainSuccession';'01_HOOFD_010';'08_AWB45_010';1.000;0.256;0.256
'NotChainSuccession(01_HOOFD_010, 08_AWB45_020_1)';'NotChainSuccession';'01_HOOFD_010';'08_AWB45_020_1';1.000;0.244;0.244
'NotChainSuccession(01_HOOFD_010, 08_AWB45_020_2)';'NotChainSuccession';'01_HOOFD_010';'08_AWB45_020_2';1.000;0.240;0.240
'NotChainSuccession(01_HOOFD_010, 08_AWB45_025)';'NotChainSuccession';'01_HOOFD_010';'08_AWB45_025';1.000;0.151;0.151
'NotChainSuccession(01_HOOFD_010, 08_AWB45_030)';'NotChainSuccession';'01_HOOFD_010';'08_AWB45_030';1.000;0.238;0.238
'NotChainSuccession(01_HOOFD_010, 08_AWB45_040)';'NotChainSuccession';'01_HOOFD_010';'08_AWB45_040';1.000;0.206;0.206
'RespondedExistence(01_HOOFD_010, 09_AH_I_010)';'RespondedExistence';'01_HOOFD_010';'09_AH_I_010';0.775;0.775;0.600
'NotChainSuccession(01_HOOFD_010, 09_AH_I_010)';'NotChainSuccession';'01_HOOFD_010';'09_AH_I_010';1.000;0.775;0.775
'RespondedExistence(01_HOOFD_010, 11_AH_II_010)';'RespondedExistence';'01_HOOFD_010';'11_AH_II_010';0.549;0.549;0.301
'NotChainSuccession(01_HOOFD_010, 11_AH_II_010)';'NotChainSuccession';'01_HOOFD_010';'11_AH_II_010';1.000;0.549;0.549
'NotChainSuccession(01_HOOFD_010, 13_CRD_010)';'NotChainSuccession';'01_HOOFD_010';'13_CRD_010';1.000;0.313;0.313
'AtMostOne(01_HOOFD_011)';'AtMostOne';'01_HOOFD_011';;1.000;0.662;0.439
'Participation(01_HOOFD_011)';'Participation';'01_HOOFD_011';;0.662;0.439;0.290
'RespondedExistence(01_HOOFD_011, 01_HOOFD_010)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_010';1.000;0.662;0.662
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_010)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_010';1.000;0.662;0.662
'AlternateResponse(01_HOOFD_011, 01_HOOFD_015)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_015';1.000;0.662;0.662
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_015)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_015';0.679;0.450;0.450
'RespondedExistence(01_HOOFD_011, 01_HOOFD_020)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_020';0.997;0.661;0.658
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_020)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_020';0.606;0.401;0.399
'AlternateResponse(01_HOOFD_011, 01_HOOFD_030_1)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_030_1';0.938;0.621;0.576
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_030_1)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_030_1';1.000;0.662;0.614
'RespondedExistence(01_HOOFD_011, 01_HOOFD_030_2)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_030_2';0.865;0.573;0.503
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_030_2)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_030_2';1.000;0.662;0.582
'NotCoExistence(01_HOOFD_011, 01_HOOFD_040)';'NotCoExistence';'01_HOOFD_011';'01_HOOFD_040';1.000;0.328;0.217
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_050)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_050';1.000;0.392;0.260
'NotCoExistence(01_HOOFD_011, 01_HOOFD_060)';'NotCoExistence';'01_HOOFD_011';'01_HOOFD_060';1.000;0.318;0.210
'AlternateResponse(01_HOOFD_011, 01_HOOFD_061)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_061';0.751;0.497;0.247
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_061)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_061';1.000;0.497;0.329
'RespondedExistence(01_HOOFD_011, 01_HOOFD_065_0)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_065_0';0.634;0.420;0.176
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_065_0)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_065_0';1.000;0.420;0.278
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_065_1)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_065_1';1.000;0.542;0.359
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_065_2)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_065_2';1.000;0.543;0.360
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_090)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_090';1.000;0.212;0.140
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_100_0)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_100_0';1.000;0.335;0.222
'AlternateResponse(01_HOOFD_011, 01_HOOFD_101)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_101';0.872;0.577;0.406
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_101)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_101';1.000;0.662;0.466
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_110)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_110';1.000;0.389;0.258
'RespondedExistence(01_HOOFD_011, 01_HOOFD_110_0)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_110_0';0.584;0.387;0.150
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_110_0)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_110_0';1.000;0.387;0.256
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_120)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_120';1.000;0.367;0.243
'RespondedExistence(01_HOOFD_011, 01_HOOFD_180)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_180';0.890;0.590;0.510
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_180)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_180';1.000;0.662;0.573
'AlternateResponse(01_HOOFD_011, 01_HOOFD_195)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_195';0.800;0.530;0.349
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_195)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_195';1.000;0.659;0.436
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_196)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_196';1.000;0.268;0.177
'RespondedExistence(01_HOOFD_011, 01_HOOFD_200)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_200';0.788;0.522;0.408
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_200)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_200';1.000;0.662;0.517
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_250)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_250';1.000;0.325;0.215
'AlternateResponse(01_HOOFD_011, 01_HOOFD_250_1)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_250_1';0.548;0.363;0.133
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_250_1)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_250_1';1.000;0.368;0.244
'AlternateResponse(01_HOOFD_011, 01_HOOFD_250_2)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_250_2';0.547;0.362;0.133
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_250_2)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_250_2';1.000;0.368;0.244
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_260)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_260';1.000;0.324;0.214
'RespondedExistence(01_HOOFD_011, 01_HOOFD_330)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_330';0.758;0.502;0.351
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_330)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_330';1.000;0.662;0.463
'AlternateResponse(01_HOOFD_011, 01_HOOFD_370)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_370';0.631;0.418;0.278
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_370)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_370';1.000;0.662;0.441
'AlternateResponse(01_HOOFD_011, 01_HOOFD_375)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_375';0.795;0.526;0.408
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_375)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_375';1.000;0.662;0.513
'RespondedExistence(01_HOOFD_011, 01_HOOFD_380)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_380';0.793;0.525;0.406
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_380)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_380';1.000;0.662;0.512
'RespondedExistence(01_HOOFD_011, 01_HOOFD_430)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_430';0.723;0.479;0.338
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_430)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_430';1.000;0.662;0.467
'NotCoExistence(01_HOOFD_011, 01_HOOFD_470)';'NotCoExistence';'01_HOOFD_011';'01_HOOFD_470';1.000;0.206;0.136
'RespondedExistence(01_HOOFD_011, 01_HOOFD_480)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_480';0.723;0.479;0.339
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_480)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_480';1.000;0.662;0.469
'AlternateResponse(01_HOOFD_011, 01_HOOFD_490_1)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_490_1';0.786;0.520;0.400
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_490_1)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_490_1';1.000;0.662;0.509
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_490_1a)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_490_1a';1.000;0.331;0.219
'RespondedExistence(01_HOOFD_011, 01_HOOFD_490_2)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_490_2';0.734;0.486;0.351
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_490_2)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_490_2';1.000;0.662;0.478
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_490_3)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_490_3';1.000;0.303;0.200
'AlternateResponse(01_HOOFD_011, 01_HOOFD_490_4)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_490_4';0.681;0.451;0.207
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_490_4)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_490_4';1.000;0.460;0.304
'RespondedExistence(01_HOOFD_011, 01_HOOFD_490_5)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_490_5';0.550;0.364;0.133
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_490_5)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_490_5';1.000;0.364;0.241
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_490_5a)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_490_5a';1.000;0.296;0.196
'RespondedExistence(01_HOOFD_011, 01_HOOFD_491)';'RespondedExistence';'01_HOOFD_011';'01_HOOFD_491';0.650;0.430;0.198
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_491)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_491';1.000;0.460;0.305
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_494a)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_494a';1.000;0.298;0.197
'AlternateResponse(01_HOOFD_011, 01_HOOFD_495)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_495';0.781;0.517;0.319
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_495)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_495';1.000;0.616;0.408
'AlternateResponse(01_HOOFD_011, 01_HOOFD_500)';'AlternateResponse';'01_HOOFD_011';'01_HOOFD_500';0.630;0.417;0.195
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_500)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_500';1.000;0.467;0.309
'NotChainSuccession(01_HOOFD_011, 01_HOOFD_510_0)';'NotChainSuccession';'01_HOOFD_011';'01_HOOFD_510_0';1.000;0.329;0.218
