Constraint,p_value,Measure_VAR1,Measure_VAR2,ABS-Difference,Natural_Language_Description
AtMostOne(01_HOOFD_492_2),0.001,1,NaN,NaN,It happens only in variant 1 that [01_HOOFD_492_2] may occur at most one time in a process instance. 
RespondedExistence(01_HOOFD_492_1:01_HOOFD_491a),0.001,0.6875,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: also [01_HOOFD_491a] occurs. 
RespondedExistence(01_HOOFD_492_1:01_HOOFD_492_2),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: also [01_HOOFD_492_2] occurs. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_061),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_061] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_490_2),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_490_2] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_480),0.001,NaN,0.85714287,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_480] occurs. 
RespondedExistence(01_HOOFD_492_2:06_VD_060_4),0.001,0.0625,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [06_VD_060_4] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_490_1),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_490_1] occurs. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_100_0),0.001,0.4375,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_100_0] occurs. 
AtMostOne(01_HOOFD_492_1),0.001,1,NaN,NaN,It happens only in variant 1 that [01_HOOFD_492_1] may occur at most one time in a process instance. 
RespondedExistence(01_HOOFD_492_1:01_BB_775),0.001,0.1875,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: also [01_BB_775] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_510_2),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_510_2] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_495),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_495] occurs. 
AlternateResponse(16_LGSD_010:01_HOOFD_820),0.001,NaN,0.96703297,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: [01_HOOFD_820] will occur afterwards without any other occurrence of [16_LGSD_010] in between. 
RespondedExistence(01_HOOFD_492_1:01_HOOFD_011),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: also [01_HOOFD_011] occurs. 
RespondedExistence(01_HOOFD_492_1:01_HOOFD_020),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: also [01_HOOFD_020] occurs. 
AtMostOne(01_HOOFD_456),0.001,1,NaN,NaN,It happens only in variant 1 that [01_HOOFD_456] may occur at most one time in a process instance. 
RespondedExistence(01_HOOFD_492_1:01_HOOFD_030_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: also [01_HOOFD_030_1] occurs. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_190_2),0.001,0.1875,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_190_2] occurs. 
RespondedExistence(01_HOOFD_498:01_HOOFD_450),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_498] occurs: also [01_HOOFD_450] occurs. 
RespondedExistence(01_HOOFD_492_1:01_HOOFD_100_0),0.001,0.4375,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: also [01_HOOFD_100_0] occurs. 
RespondedExistence(16_LGSD_010:02_DRZ_010),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [02_DRZ_010] occurs. 
RespondedExistence(01_HOOFD_498:01_HOOFD_190_2),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_498] occurs: also [01_HOOFD_190_2] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_810),0.001,NaN,0.97252744,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_810] occurs. 
Precedence(01_HOOFD_061:01_HOOFD_492_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: [01_HOOFD_061] occurred before it. 
RespondedExistence(01_HOOFD_496_2:01_HOOFD_065_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_2] occurs: also [01_HOOFD_065_1] occurs. 
AlternateResponse(16_LGSD_010:01_HOOFD_510_1),0.001,NaN,0.96153843,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: [01_HOOFD_510_1] will occur afterwards without any other occurrence of [16_LGSD_010] in between. 
Precedence(01_HOOFD_250_1:01_HOOFD_496_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_1] occurs: [01_HOOFD_250_1] occurred before it. 
RespondedExistence(01_HOOFD_456:01_HOOFD_011),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_456] occurs: also [01_HOOFD_011] occurs. 
RespondedExistence(01_HOOFD_456:01_HOOFD_010),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_456] occurs: also [01_HOOFD_010] occurs. 
RespondedExistence(01_HOOFD_456:01_HOOFD_020),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_456] occurs: also [01_HOOFD_020] occurs. 
RespondedExistence(16_LGSD_010:04_BPT_005),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [04_BPT_005] occurs. 
RespondedExistence(01_HOOFD_456:01_HOOFD_015),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_456] occurs: also [01_HOOFD_015] occurs. 
RespondedExistence(01_HOOFD_498:01_HOOFD_250_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_498] occurs: also [01_HOOFD_250_1] occurs. 
RespondedExistence(16_LGSD_010:09_AH_I_010),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [09_AH_I_010] occurs. 
Precedence(01_HOOFD_250_1:01_HOOFD_496_2),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_2] occurs: [01_HOOFD_250_1] occurred before it. 
RespondedExistence(01_HOOFD_456:01_HOOFD_030_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_456] occurs: also [01_HOOFD_030_1] occurs. 
RespondedExistence(01_HOOFD_498:01_HOOFD_330),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_498] occurs: also [01_HOOFD_330] occurs. 
AlternatePrecedence(01_HOOFD_490_4:01_HOOFD_492_1),0.001,0.9375,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: [01_HOOFD_490_4] occurred before it without any other occurrence of [01_HOOFD_492_1] in between. 
Precedence(01_HOOFD_250_1:01_HOOFD_492_1),0.001,0.875,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: [01_HOOFD_250_1] occurred before it. 
RespondedExistence(01_HOOFD_456:01_HOOFD_065_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_456] occurs: also [01_HOOFD_065_1] occurs. 
RespondedExistence(01_HOOFD_496_2:01_HOOFD_190_2),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_2] occurs: also [01_HOOFD_190_2] occurs. 
AlternatePrecedence(01_HOOFD_015:01_HOOFD_492_2),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: [01_HOOFD_015] occurred before it without any other occurrence of [01_HOOFD_492_2] in between. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_480),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_480] occurs. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_490_4),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_490_4] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_030_1),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_030_1] occurs. 
Precedence(01_HOOFD_015:01_HOOFD_492_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: [01_HOOFD_015] occurred before it. 
RespondedExistence(16_LGSD_010:11_AH_II_010),0.001,NaN,0.98351645,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [11_AH_II_010] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_030_2),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_030_2] occurs. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_491a),0.001,0.6875,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_491a] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_015),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_015] occurs. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_491),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_491] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_020),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_020] occurs. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_492_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_492_1] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_010),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_010] occurs. 
Precedence(01_HOOFD_015:01_HOOFD_496_2),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_2] occurs: [01_HOOFD_015] occurred before it. 
RespondedExistence(16_LGSD_010:01_HOOFD_011),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_011] occurs. 
Precedence(01_HOOFD_015:01_HOOFD_496_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_1] occurs: [01_HOOFD_015] occurred before it. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_493),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_493] occurs. 
RespondedExistence(01_HOOFD_496_2:01_HOOFD_330),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_2] occurs: also [01_HOOFD_330] occurs. 
RespondedExistence(16_LGSD_010:01_BB_770),0.001,NaN,0.978022,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_BB_770] occurs. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_250_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_250_1] occurs. 
RespondedExistence(01_HOOFD_498:01_HOOFD_491),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_498] occurs: also [01_HOOFD_491] occurs. 
RespondedExistence(01_HOOFD_492_2:01_HOOFD_330),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: also [01_HOOFD_330] occurs. 
Precedence(01_HOOFD_450:01_HOOFD_496_2),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_2] occurs: [01_HOOFD_450] occurred before it. 
RespondedExistence(01_HOOFD_496_1:01_HOOFD_020),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_1] occurs: also [01_HOOFD_020] occurs. 
RespondedExistence(01_HOOFD_498:01_HOOFD_015),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_498] occurs: also [01_HOOFD_015] occurs. 
RespondedExistence(01_HOOFD_496_2:01_HOOFD_491),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_496_2] occurs: also [01_HOOFD_491] occurs. 
RespondedExistence(01_HOOFD_498:01_HOOFD_011),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_498] occurs: also [01_HOOFD_011] occurs. 
RespondedExistence(01_HOOFD_498:01_HOOFD_020),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_498] occurs: also [01_HOOFD_020] occurs. 
RespondedExistence(01_HOOFD_492_1:01_HOOFD_330),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: also [01_HOOFD_330] occurs. 
RespondedExistence(01_HOOFD_456:01_HOOFD_450),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_456] occurs: also [01_HOOFD_450] occurs. 
RespondedExistence(01_HOOFD_498:01_HOOFD_065_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_498] occurs: also [01_HOOFD_065_1] occurs. 
RespondedExistence(01_HOOFD_456:01_HOOFD_465),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_456] occurs: also [01_HOOFD_465] occurs. 
AlternatePrecedence(01_HOOFD_010:01_HOOFD_492_2),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: [01_HOOFD_010] occurred before it without any other occurrence of [01_HOOFD_492_2] in between. 
RespondedExistence(01_HOOFD_456:01_HOOFD_490_4),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_456] occurs: also [01_HOOFD_490_4] occurs. 
Precedence(01_HOOFD_010:01_HOOFD_492_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: [01_HOOFD_010] occurred before it. 
AlternatePrecedence(01_HOOFD_020:01_HOOFD_492_2),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_2] occurs: [01_HOOFD_020] occurred before it without any other occurrence of [01_HOOFD_492_2] in between. 
RespondedExistence(01_HOOFD_456:01_HOOFD_250_1),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_456] occurs: also [01_HOOFD_250_1] occurs. 
RespondedExistence(01_HOOFD_456:01_HOOFD_330),0.001,1,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_456] occurs: also [01_HOOFD_330] occurs. 
RespondedExistence(01_HOOFD_492_1:01_HOOFD_190_2),0.001,0.1875,NaN,NaN,It happens only in variant 1 that if [01_HOOFD_492_1] occurs: also [01_HOOFD_190_2] occurs. 
RespondedExistence(16_LGSD_010:01_HOOFD_180),0.001,NaN,1,NaN,It happens only in variant 2 that if [16_LGSD_010] occurs: also [01_HOOFD_180] occurs. 
RespondedExistence(01_HOOFD_491a:10_UOV_050_1),0.001,0,1,1,In variant 2 it is 100.0% more likely than variant1 that if [01_HOOFD_491a] occurs: also [10_UOV_050_1] occurs. 
RespondedExistence(01_HOOFD_491a:01_HOOFD_450),0.001,0.018518519,1,0.9814815,In variant 2 it is 98.14815% more likely than variant1 that if [01_HOOFD_491a] occurs: also [01_HOOFD_450] occurs. 
RespondedExistence(01_HOOFD_491a:01_HOOFD_460a),0.001,0.018518519,1,0.9814815,In variant 2 it is 98.14815% more likely than variant1 that if [01_HOOFD_491a] occurs: also [01_HOOFD_460a] occurs. 
RespondedExistence(01_HOOFD_491a:01_HOOFD_480),0.001,0.9814815,0,0.9814815,In variant 1 it is 98.14815% more likely than variant2 that if [01_HOOFD_491a] occurs: also [01_HOOFD_480] occurs. 
RespondedExistence(01_HOOFD_491a:01_HOOFD_190_2),0.001,0.037037037,1,0.962963,In variant 2 it is 96.296295% more likely than variant1 that if [01_HOOFD_491a] occurs: also [01_HOOFD_190_2] occurs. 
RespondedExistence(01_HOOFD_491a:01_HOOFD_811),0.001,0.037037037,1,0.962963,In variant 2 it is 96.296295% more likely than variant1 that if [01_HOOFD_491a] occurs: also [01_HOOFD_811] occurs. 
RespondedExistence(01_HOOFD_491a:01_BB_775),0.001,0.055555556,1,0.9444444,In variant 2 it is 94.44444% more likely than variant1 that if [01_HOOFD_491a] occurs: also [01_BB_775] occurs. 
RespondedExistence(01_HOOFD_080:01_HOOFD_130),0.01,0,0.85714287,0.85714287,In variant 2 it is 85.71429% more likely than variant1 that if [01_HOOFD_080] occurs: also [01_HOOFD_130] occurs. 
AlternateResponse(01_HOOFD_470:01_BB_770),0.001,0.13360325,0.97727275,0.84366953,In variant 2 it is 84.36695% more likely than variant1 that if [01_HOOFD_470] occurs: [01_BB_770] will occur afterwards without any other occurrence of [01_HOOFD_470] in between. 
RespondedExistence(16_LGSV_010:01_HOOFD_491),0.001,0,0.8353909,0.8353909,In variant 2 it is 83.53909% more likely than variant1 that if [16_LGSV_010] occurs: also [01_HOOFD_491] occurs. 
RespondedExistence(06_VD_060_4:01_BB_775),0.001,0.16666667,1,0.8333333,In variant 2 it is 83.33333% more likely than variant1 that if [06_VD_060_4] occurs: also [01_BB_775] occurs. 
RespondedExistence(01_HOOFD_530:01_BB_770),0.001,0.1325,0.964539,0.832039,In variant 2 it is 83.2039% more likely than variant1 that if [01_HOOFD_530] occurs: also [01_BB_770] occurs. 
RespondedExistence(01_HOOFD_100_0:01_BB_775),0.001,0.17412935,1,0.82587063,In variant 2 it is 82.58707% more likely than variant1 that if [01_HOOFD_100_0] occurs: also [01_BB_775] occurs. 
Response(01_HOOFD_260:01_BB_770),0.001,0.11340206,0.93703705,0.823635,In variant 2 it is 82.363495% more likely than variant1 that if [01_HOOFD_260] occurs: [01_BB_770] will occur afterwards. 
RespondedExistence(01_HOOFD_490_5a:01_HOOFD_100_0),0.001,0.8197183,0,0.8197183,In variant 1 it is 81.97183% more likely than variant2 that if [01_HOOFD_490_5a] occurs: also [01_HOOFD_100_0] occurs. 
Response(01_HOOFD_250:01_BB_770),0.001,0.115384616,0.9335793,0.8181947,In variant 2 it is 81.819466% more likely than variant1 that if [01_HOOFD_250] occurs: [01_BB_770] will occur afterwards. 
RespondedExistence(01_HOOFD_520:01_BB_770),0.001,0.13170731,0.9444444,0.8127371,In variant 2 it is 81.27371% more likely than variant1 that if [01_HOOFD_520] occurs: also [01_BB_770] occurs. 
RespondedExistence(01_HOOFD_099:01_BB_775),0.001,0.13131313,0.94285715,0.811544,In variant 2 it is 81.1544% more likely than variant1 that if [01_HOOFD_099] occurs: also [01_BB_775] occurs. 
RespondedExistence(01_HOOFD_519:01_BB_770),0.001,0.13777778,0.939759,0.8019812,In variant 2 it is 80.19812% more likely than variant1 that if [01_HOOFD_519] occurs: also [01_BB_770] occurs. 
RespondedExistence(01_HOOFD_065_0:01_HOOFD_100_0),0.001,0.7952286,0,0.7952286,In variant 1 it is 79.52286% more likely than variant2 that if [01_HOOFD_065_0] occurs: also [01_HOOFD_100_0] occurs. 
Response(01_HOOFD_270:01_BB_770),0.001,0.13636364,0.9285714,0.7922078,In variant 2 it is 79.22078% more likely than variant1 that if [01_HOOFD_270] occurs: [01_BB_770] will occur afterwards. 
AlternatePrecedence(01_HOOFD_061:01_HOOFD_100_0),0.001,0.22139303,1,0.77860695,In variant 2 it is 77.860695% more likely than variant1 that if [01_HOOFD_100_0] occurs: [01_HOOFD_061] occurred before it without any other occurrence of [01_HOOFD_100_0] in between. 
RespondedExistence(08_AWB45_070_1a:01_HOOFD_811),0.001,0.10344828,0.875,0.7715517,In variant 2 it is 77.155174% more likely than variant1 that if [08_AWB45_070_1a] occurs: also [01_HOOFD_811] occurs. 
RespondedExistence(01_HOOFD_811:01_HOOFD_100_0),0.001,0.77,0,0.77,In variant 1 it is 77.0% more likely than variant2 that if [01_HOOFD_811] occurs: also [01_HOOFD_100_0] occurs. 
RespondedExistence(01_HOOFD_490_3:01_BB_770),0.001,0.17906336,0.94418603,0.76512265,In variant 2 it is 76.51227% more likely than variant1 that if [01_HOOFD_490_3] occurs: also [01_BB_770] occurs. 
RespondedExistence(01_HOOFD_491:01_HOOFD_810),0.001,0.13043478,0.8862661,0.75583136,In variant 2 it is 75.58314% more likely than variant1 that if [01_HOOFD_491] occurs: also [01_HOOFD_810] occurs. 
AlternateResponse(06_VD_010:01_BB_770),0.001,0.115869015,0.86738354,0.75151455,In variant 2 it is 75.15146% more likely than variant1 that if [06_VD_010] occurs: [01_BB_770] will occur afterwards without any other occurrence of [06_VD_010] in between. 
RespondedExistence(01_HOOFD_370:01_BB_770),0.001,0.17271589,0.923339,0.7506231,In variant 2 it is 75.06231% more likely than variant1 that if [01_HOOFD_370] occurs: also [01_BB_770] occurs. 
RespondedExistence(01_HOOFD_490_5:01_HOOFD_820),0.001,0.11899313,0.8687664,0.74977326,In variant 2 it is 74.977325% more likely than variant1 that if [01_HOOFD_490_5] occurs: also [01_HOOFD_820] occurs. 
AlternateResponse(01_HOOFD_040:01_BB_770),0.001,0.10687023,0.85531914,0.7484489,In variant 2 it is 74.844894% more likely than variant1 that if [01_HOOFD_040] occurs: [01_BB_770] will occur afterwards without any other occurrence of [01_HOOFD_040] in between. 
RespondedExistence(01_HOOFD_490_5:01_HOOFD_810),0.001,0.1395881,0.8871391,0.74755096,In variant 2 it is 74.7551% more likely than variant1 that if [01_HOOFD_490_5] occurs: also [01_HOOFD_810] occurs. 
AlternateResponse(01_HOOFD_060:01_BB_770),0.001,0.11023622,0.85531914,0.7450829,In variant 2 it is 74.50829% more likely than variant1 that if [01_HOOFD_060] occurs: [01_BB_770] will occur afterwards without any other occurrence of [01_HOOFD_060] in between. 
RespondedExistence(01_HOOFD_510_1:01_BB_770),0.001,0.17094973,0.9138973,0.7429476,In variant 2 it is 74.294754% more likely than variant1 that if [01_HOOFD_510_1] occurs: also [01_BB_770] occurs. 
Response(01_HOOFD_120:01_BB_770),0.001,0.10909091,0.8511327,0.74204177,In variant 2 it is 74.20418% more likely than variant1 that if [01_HOOFD_120] occurs: [01_BB_770] will occur afterwards. 
RespondedExistence(01_HOOFD_490_5a:01_HOOFD_820),0.001,0.12676056,0.8682432,0.7414827,In variant 2 it is 74.14827% more likely than variant1 that if [01_HOOFD_490_5a] occurs: also [01_HOOFD_820] occurs. 
RespondedExistence(01_HOOFD_480:01_BB_540),0.001,0.15882353,0.89948004,0.7406565,In variant 2 it is 74.06565% more likely than variant1 that if [01_HOOFD_480] occurs: also [01_BB_540] occurs. 
RespondedExistence(01_HOOFD_480:01_BB_770),0.001,0.15411764,0.89254767,0.73843,In variant 2 it is 73.843% more likely than variant1 that if [01_HOOFD_480] occurs: also [01_BB_770] occurs. 
RespondedExistence(01_HOOFD_430:01_BB_540),0.001,0.15957446,0.8979239,0.73834944,In variant 2 it is 73.834946% more likely than variant1 that if [01_HOOFD_430] occurs: also [01_BB_540] occurs. 
RespondedExistence(01_HOOFD_510_2:01_BB_770),0.001,0.17463848,0.9124629,0.73782444,In variant 2 it is 73.78244% more likely than variant1 that if [01_HOOFD_510_2] occurs: also [01_BB_770] occurs. 
AlternatePrecedence(03_GBH_005:01_HOOFD_814),0.001,0.018518519,0.7556818,0.7371633,In variant 2 it is 73.71633% more likely than variant1 that if [01_HOOFD_814] occurs: [03_GBH_005] occurred before it without any other occurrence of [01_HOOFD_814] in between. 
AlternatePrecedence(03_GBH_005:01_HOOFD_815),0.001,0.018691588,0.7556818,0.7369902,In variant 2 it is 73.69902% more likely than variant1 that if [01_HOOFD_815] occurs: [03_GBH_005] occurred before it without any other occurrence of [01_HOOFD_815] in between. 
RespondedExistence(01_HOOFD_495:01_HOOFD_810),0.001,0.12584573,0.86238533,0.7365396,In variant 2 it is 73.65396% more likely than variant1 that if [01_HOOFD_495] occurs: also [01_HOOFD_810] occurs. 
