'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'NotChainSuccession(Payment, Send Fine)';'NotChainSuccession';'Payment';'Send Fine';0.994;0.487;0.321
'NotChainSuccession(Payment, Send for Credit Collection)';'NotChainSuccession';'Payment';'Send for Credit Collection';0.979;0.355;0.174
'AtMostOne(Send Fine)';'AtMostOne';'Send Fine';;1.000;0.659;0.434
'Participation(Send Fine)';'Participation';'Send Fine';;0.659;0.434;0.286
'AlternatePrecedence(Create Fine, Send Fine)';'AlternatePrecedence';'Send Fine';'Create Fine';1.000;1.000;0.659
'AlternateResponse(Send Fine, Add penalty)';'AlternateResponse';'Send Fine';'Add penalty';0.755;0.497;0.247
'NotChainSuccession(Send Fine, Add penalty)';'NotChainSuccession';'Send Fine';'Add penalty';1.000;0.497;0.328
'NotSuccession(Send Fine, Create Fine)';'NotSuccession';'Send Fine';'Create Fine';1.000;0.659;0.659
'AlternateResponse(Send Fine, Insert Fine Notification)';'AlternateResponse';'Send Fine';'Insert Fine Notification';0.755;0.497;0.247
'NotChainSuccession(Send Fine, Payment)';'NotChainSuccession';'Send Fine';'Payment';0.971;0.476;0.314
'AlternateResponse(Send Fine, Send for Credit Collection)';'AlternateResponse';'Send Fine';'Send for Credit Collection';0.550;0.363;0.131
'NotChainSuccession(Send Fine, Send for Credit Collection)';'NotChainSuccession';'Send Fine';'Send for Credit Collection';1.000;0.363;0.239
'AtMostOne(Send for Credit Collection)';'AtMostOne';'Send for Credit Collection';;1.000;0.363;0.131
'AlternatePrecedence(Add penalty, Send for Credit Collection)';'AlternatePrecedence';'Send for Credit Collection';'Add penalty';1.000;0.497;0.180
'AlternatePrecedence(Create Fine, Send for Credit Collection)';'AlternatePrecedence';'Send for Credit Collection';'Create Fine';1.000;1.000;0.363
'AlternatePrecedence(Insert Fine Notification, Send for Credit Collection)';'AlternatePrecedence';'Send for Credit Collection';'Insert Fine Notification';1.000;0.497;0.180
'AlternatePrecedence(Send Fine, Send for Credit Collection)';'AlternatePrecedence';'Send for Credit Collection';'Send Fine';1.000;0.659;0.239
'NotSuccession(Send for Credit Collection, Add penalty)';'NotSuccession';'Send for Credit Collection';'Add penalty';1.000;0.363;0.180
'NotSuccession(Send for Credit Collection, Create Fine)';'NotSuccession';'Send for Credit Collection';'Create Fine';1.000;0.363;0.363
'NotSuccession(Send for Credit Collection, Insert Fine Notification)';'NotSuccession';'Send for Credit Collection';'Insert Fine Notification';1.000;0.363;0.180
'NotSuccession(Send for Credit Collection, Payment)';'NotSuccession';'Send for Credit Collection';'Payment';1.000;0.363;0.178
'NotSuccession(Send for Credit Collection, Send Fine)';'NotSuccession';'Send for Credit Collection';'Send Fine';1.000;0.363;0.239
